name,Private,Top10perc,Top25perc,Room.Board,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,out_of_state_tuition,state_mean
Alaska Pacific University,1,16,44,4120,76,11.9,2,10922,15,20830.0,20830.0
Albright College,1,30,63,4400,79,11.3,23,11644,80,45306.0,40010.93
Amherst College,1,83,96,5300,93,8.4,63,21424,100,56426.0,42903.71
Auburn University-Main Campus,0,25,57,3933,85,16.7,18,6642,69,30524.0,22816.29
Augustana College,1,21,58,3244,66,10.4,30,6871,69,42135.0,33971.31
Averett College,1,16,40,4135,59,22.4,11,6523,48,9870.0,31057.5
Beaver College,1,23,56,5400,78,12.2,30,8954,73,13475.0,29738.82
Beloit College,1,26,54,3616,87,11.1,26,12957,69,50040.0,32513.64
Bemidji State University,0,12,36,2700,57,19.6,16,3752,46,8696.0,31501.71
Bennington College,1,25,53,4100,35,10.1,33,16364,55,54360.0,40429.4
Berry College,1,37,68,3940,80,16.3,17,10511,63,36556.0,29738.82
Blackburn College,1,25,55,2700,76,14.3,53,8377,51,22410.0,33971.31
Bowdoin College,1,76,100,5885,93,11.2,52,20447,96,53922.0,34116.75
Bradley University,1,30,58,4440,75,14.4,21,7671,85,33760.0,33971.31
Brandeis University,1,48,77,6750,90,9.8,24,17150,84,55395.0,42903.71
Brewton-Parker College,1,10,26,2370,62,12.6,10,4900,18,18690.0,29738.82
Bryn Mawr College,1,71,95,6750,100,12.3,49,17449,89,52360.0,40010.93
California Lutheran University,1,23,52,5300,72,12.4,17,8985,60,42693.0,46781.28
Calvin College,1,29,56,3710,75,14.8,41,7786,81,34600.0,30355.17
Canisius College,1,16,34,5340,90,14.6,26,7972,64,28488.0,34395.78
Capital University,1,34,66,4000,64,12.1,27,9557,83,35466.0,33040.07
Carleton College,1,75,93,3957,81,10.4,60,17960,91,54759.0,31501.71
Carnegie Mellon University,1,60,89,5690,86,9.2,31,24386,74,55465.0,40010.93
Carroll College,1,19,55,3880,74,17.8,25,7666,79,35486.0,31999.0
