name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Room.Board,Books,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,state,degree_length,out_of_state_tuition
Alaska Pacific University,True,193,146,55,16,44,249,869,4120,800,76,11.9,2,10922,15,Alaska,4,20830.0
Albright College,True,1038,839,227,30,63,973,306,4400,300,79,11.3,23,11644,80,Pennsylvania,4,45306.0
Amherst College,True,4302,992,418,83,96,1593,5,5300,660,93,8.4,63,21424,100,Massachusetts,4,56426.0
Auburn University-Main Campus,False,7548,6791,3070,25,57,16262,1716,3933,600,85,16.7,18,6642,69,Alabama,4,30524.0
Augustana College,True,761,725,306,21,58,1337,300,3244,600,66,10.4,30,6871,69,Illinois,4,42135.0
Averett College,True,627,556,172,16,40,777,538,4135,750,59,22.4,11,6523,48,Maryland,2,9870.0
Beaver College,True,1163,850,348,23,56,878,519,5400,400,78,12.2,30,8954,73,Georgia,4,13475.0
Beloit College,True,1320,923,284,26,54,1085,81,3616,355,87,11.1,26,12957,69,Wisconsin,4,50040.0
Bemidji State University,False,1208,877,546,12,36,3796,824,2700,660,57,19.6,16,3752,46,Minnesota,4,8696.0
Bennington College,True,519,327,114,25,53,457,2,4100,600,35,10.1,33,16364,55,Vermont,4,54360.0
Berry College,True,1858,1221,480,37,68,1620,49,3940,350,80,16.3,17,10511,63,Georgia,4,36556.0
Blackburn College,True,500,336,156,25,55,421,27,2700,500,76,14.3,53,8377,51,Illinois,4,22410.0
Bowdoin College,True,3356,1019,418,76,100,1490,8,5885,1495,93,11.2,52,20447,96,Maine,4,53922.0
Bradley University,True,3767,3414,1061,30,58,4531,643,4440,2000,75,14.4,21,7671,85,Illinois,4,33760.0
Brandeis University,True,4186,2743,740,48,77,2819,62,6750,410,90,9.8,24,17150,84,Massachusetts,4,55395.0
Brewton-Parker College,True,1436,1228,1202,10,26,1320,822,2370,500,62,12.6,10,4900,18,Georgia,4,18690.0
Bryn Mawr College,True,1465,810,313,71,95,1088,16,6750,500,100,12.3,49,17449,89,Pennsylvania,4,52360.0
California Lutheran University,True,563,247,247,23,52,1427,432,5300,612,72,12.4,17,8985,60,California,4,42693.0
Calvin College,True,1784,1512,913,29,56,3401,136,3710,400,75,14.8,41,7786,81,Michigan,4,34600.0
Canisius College,True,2853,2193,753,16,34,2978,434,5340,400,90,14.6,26,7972,64,New York,4,28488.0
Capital University,True,1747,1382,449,34,66,1662,960,4000,500,64,12.1,27,9557,83,Ohio,4,35466.0
Carleton College,True,2694,1579,489,75,93,1870,12,3957,550,81,10.4,60,17960,91,Minnesota,4,54759.0
Carnegie Mellon University,True,8728,5201,1191,60,89,4265,291,5690,450,86,9.2,31,24386,74,Pennsylvania,4,55465.0
Carroll College,True,1160,991,352,19,55,1357,737,3880,480,74,17.8,25,7666,79,Montana,4,35486.0
Carthage College,True,1616,1427,434,20,43,1405,580,3775,500,74,15.9,22,7364,62,Wisconsin,4,43550.0
Case Western Reserve University,True,3877,3156,713,71,93,3051,513,4730,525,95,2.9,29,19733,67,Ohio,4,49042.0
Castleton State College,False,1257,940,363,9,22,1547,294,4690,400,89,14.7,8,6318,79,Georgia,4,12668.0
Catawba College,True,1083,880,291,13,34,915,80,4100,600,75,13.5,27,8425,55,North Carolina,4,30520.0
Cazenovia College,True,3847,3433,527,9,35,1010,12,4840,600,22,14.3,20,7697,118,New York,4,34630.0
Cedar Crest College,True,776,607,198,25,58,791,764,5285,500,58,11.7,39,10961,74,Pennsylvania,4,39216.0
Centenary College of Louisiana,True,495,434,210,35,55,775,44,3490,600,86,11.3,25,9685,66,Louisiana,4,36580.0
Central Connecticut State University,False,4158,2532,902,6,24,6394,3881,4444,500,69,16.7,4,4900,49,Connecticut,4,21856.0
Central Washington University,False,2785,2011,1007,8,65,6507,898,3603,654,67,18.1,0,6413,51,Washington,4,23053.0
Christendom College,True,81,72,51,33,71,139,3,3600,400,92,9.3,17,10922,58,Virginia,4,26360.0
Christian Brothers University,True,880,520,224,16,42,1068,364,3260,600,81,11.1,24,8129,63,Tennessee,4,32820.0
Christopher Newport University,False,883,766,428,3,37,2910,1749,4750,525,80,21.2,16,4639,48,Virginia,4,27220.0
Claremont McKenna College,True,1860,767,227,71,93,887,1,6010,500,99,9.6,52,18443,87,California,4,54405.0
Clarkson University,True,2174,1953,557,35,68,2332,53,5580,700,95,15.8,32,11659,77,New York,4,49444.0
Colby College,True,2848,1319,456,58,84,1720,35,5590,500,83,10.2,41,15954,91,Maine,4,55210.0
Colgate University,True,4856,2492,727,46,75,2649,25,5565,500,95,10.5,45,15494,93,New York,4,55870.0
College of Mount St. Joseph,True,798,620,238,14,41,1165,1232,4430,400,46,11.1,35,6889,100,Pennsylvania,4,21275.0
College of Saint Benedict,True,938,864,511,29,62,1715,103,4221,500,70,13.1,26,8847,72,Minnesota,4,45264.0
College of Saint Elizabeth,True,444,359,122,34,53,493,968,5250,380,68,11.4,23,9447,78,New Jersey,4,33613.0
College of Saint Rose,True,983,664,249,23,57,1698,894,5666,800,66,14.3,28,6084,64,New York,4,32574.0
College of St. Scholastica,True,672,596,278,29,60,1350,275,3696,450,54,11.6,33,8996,72,Minnesota,4,37212.0
College of Wooster,True,2100,1883,553,29,65,1704,1,4690,500,84,11.1,43,14140,69,Ohio,4,50250.0
Colorado College,True,3207,1577,490,56,87,1892,7,4190,450,85,11.3,51,14664,84,Colorado,4,55470.0
Connecticut College,True,3035,1546,438,42,93,1630,232,6300,600,86,10.7,40,14773,91,Connecticut,4,54820.0
Converse College,True,440,407,149,35,70,643,80,3700,500,63,10.2,31,10965,75,South Carolina,4,18690.0
Cornell College,True,1538,1329,383,33,68,1140,10,4323,550,71,12.2,31,10340,64,Iowa,4,42299.0
Creighton University,True,2967,2836,876,30,60,3450,644,4372,650,85,6.5,32,22906,85,Nebraska,4,39916.0
Culver-Stockton College,True,1576,1110,274,24,55,992,112,3700,400,51,14.1,28,5807,51,Missouri,4,26680.0
Cumberland College,True,995,789,398,26,47,1306,122,3526,400,42,13.0,4,8189,63,New Jersey,2,8700.0
Dartmouth College,True,8587,2273,1087,87,99,3918,32,6070,550,95,4.7,49,29619,98,New Hampshire,4,55453.0
Defiance College,True,571,461,174,10,26,645,283,3670,400,58,12.8,19,7505,56,Ohio,4,32730.0
Dickinson College,True,3014,2539,487,31,68,1889,62,5000,595,87,11.2,39,13861,87,Pennsylvania,4,54661.0
Dillard University,True,1998,1376,651,41,88,1539,45,3650,500,52,14.1,12,7566,61,Louisiana,4,18099.0
Dominican College of Blauvelt,True,360,329,108,4,19,756,863,5500,600,43,12.7,5,5480,54,New York,4,29000.0
Dordt College,True,604,562,328,25,50,1048,56,2650,450,61,12.5,17,7325,87,Iowa,4,30870.0
Earlham College,True,1358,1006,274,35,63,1028,13,4056,600,90,10.6,46,14634,78,Indiana,4,46450.0
Eastern Nazarene College,True,516,409,200,17,40,1238,30,3500,450,58,17.3,17,6430,70,Massachusetts,4,25598.0
Elizabethtown College,True,2417,1843,426,36,70,1476,299,4400,500,65,12.8,25,9815,81,Pennsylvania,4,46940.0
Emory & Henry College,True,765,646,226,30,60,809,32,4408,700,79,13.9,51,8061,82,Virginia,4,35135.0
Emory University,True,8506,4168,1236,76,97,5544,192,6000,600,97,5.0,28,28457,96,Georgia,4,51306.0
Evergreen State College,False,1801,1101,438,14,50,3065,363,4600,600,75,18.1,14,8355,68,Washington,4,26459.0
Fairfield University,True,4784,3346,781,30,66,2984,1037,6200,700,86,15.1,30,11220,94,Connecticut,4,48350.0
Fayetteville State University,False,1455,1064,452,1,16,2632,617,2550,350,75,15.1,10,6972,24,North Carolina,4,16523.0
Ferrum College,True,1339,1107,336,12,36,1051,82,4200,500,53,12.5,9,7967,22,Virginia,4,34175.0
Flagler College,True,1415,714,338,18,52,1345,44,3200,500,52,18.1,9,3930,69,Florida,4,18950.0
Florida State University,False,11651,8683,3023,50,90,18906,3242,4060,600,80,23.1,15,7250,58,Florida,4,21683.0
Fordham University,True,4200,2874,942,30,55,4740,1646,6965,600,86,14.4,14,10864,80,New York,4,52687.0
Fort Lewis College,False,3440,2823,1123,16,35,3793,486,3320,500,89,19.1,6,4362,46,Colorado,4,19696.0
Franciscan University of Steubenville,True,553,452,228,22,49,1301,242,4400,600,57,14.9,8,6336,83,Ohio,4,27630.0
Franklin College,True,804,632,281,29,72,840,68,4040,525,54,12.5,37,11751,60,Indiana,4,32010.0
Franklin Pierce College,True,5187,4471,446,3,14,1818,1197,4630,500,50,17.6,16,6418,51,Washington,2,5112.0
